Track,Album Name,Artist,Release Date,ISRC,Spotify Streams,Spotify Playlist Count
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/24,QM24S2402528,"390,470,936","30,716"
Not Like Us,Not Like Us,Kendrick Lamar,5/4/24,USUG12400910,"323,703,884","28,113"
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/24,QZJ842400387,"601,309,283","54,331"
Flowers,Flowers - Single,Miley Cyrus,1/12/23,USSM12209777,"2,031,280,633","269,802"
Houdini,Houdini,Eminem,5/31/24,USUG12403398,"107,034,922","7,223"
Lovin On Me,Lovin On Me,Jack Harlow,11/10/23,USAT22311371,"670,665,438","105,892"
Beautiful Things,Beautiful Things,Benson Boone,1/18/24,USWB12307016,"900,158,751","73,118"
Gata Only,Gata Only,FloyyMenor,2/2/24,QZL382406049,"675,079,153","40,094"
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/24,TCJPA2463708,"1,653,018,119",1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/24,USSM12404354,"90,676,573","10,400"
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/24,USUM72404990,"250,080,413","16,219"
The Door,The Door,Teddy Swims,6/14/24,USWB12402486,"111,155,129",2
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/24,USUM72401991,"221,636,195","13,800"
Like That,WE DON'T TRUST YOU,Future,3/22/24,USSM12402041,"355,186,436","43,025"
bathroom floor,bathroom floor,Kids With Buns,10/7/22,NLC242100307,"297,185",277
LALA,LALA - Single,Myke Towers,3/22/23,USWL12300002,"925,655,569","103,605"
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/24,USUG12401028,"395,433,400","12,784"
greedy,greedy,Tate McRae,9/14/23,USRC12301932,"1,258,569,694","105,218"
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/24,USUM72401996,"91,272,461","6,499"
As It Was,As It Was,Harry Styles,3/31/22,USSM12200612,"3,301,814,535","407,119"
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/23,USRC12300907,"1,065,399,331","170,890"
Espresso,Espresso,Sabrina Carpenter,4/12/24,USUM72403305,"547,882,871","24,425"
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/24,TCJPA2445163,"1,655,575,417",10
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/24,USSM12401302,"426,700,979","34,044"
Future,Future,official sound studio,1/10/24,RUA1H2415548,,1
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/22,BXWEH2200054,"7,382,759","3,504"
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/21,USSM12103949,"3,107,100,349","451,732"
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/15,KRE671700001,"720,822,868","60,945"
